area_num,area_codigo,departamento,grupo_edad,hombres,mujeres,total_poblacion
25,AREA # 25,Ucayali,15-19,23835,24040,47875
25,AREA # 25,Ucayali,20-24,20082,20029,40111
25,AREA # 25,Ucayali,25-29,17498,17366,34864
25,AREA # 25,Ucayali,30-34,15180,15038,30218
25,AREA # 25,Ucayali,35-39,14119,13654,27773
25,AREA # 25,Ucayali,40-44,12978,11728,24706
25,AREA # 25,Ucayali,45-49,10653,9056,19709
25,AREA # 25,Ucayali,5-9,23712,22789,46501
25,AREA # 25,Ucayali,50-54,8359,6904,15263
25,AREA # 25,Ucayali,55-59,6199,5032,11231
25,AREA # 25,Ucayali,60-64,4432,3498,7930
25,AREA # 25,Ucayali,65-69,3250,2659,5909
25,AREA # 25,Ucayali,70-74,2213,1857,4070
25,AREA # 25,Ucayali,75-79,1558,1376,2934
25,AREA # 25,Ucayali,80-84,862,756,1618
25,AREA # 25,Ucayali,85-89,504,444,948
25,AREA # 25,Ucayali,90-94,132,129,261
25,AREA # 25,Ucayali,95-99,75,78,153
